,article_id,article_title,article_writer,article_view,article_like,article_comment,article_datetime
0,964072973,엘지 15N36 펜티엄 3825U SSD 240 FHD 중고노트북 20만,notebookseller,2,0,0,2023-01-02 11:49:14
1,964072762,[판매]삼성 잉크젯 정품무한 SL-T1670 잉크 미개봉신품 양산,ram2194,2,0,0,2023-01-02 11:48:15
2,964070750,[미개봉]LG그램16 16Z90P-GP5EL i5/16GB 노트북 판매,type0214,1,0,0,2023-01-02 11:38:51
3,964069780,"[ 공식정품 ] 윈도우11 , 윈도우10 // MS오피스 세트할인",giant2112,2,0,0,2023-01-02 11:34:32
4,964067460,"MS 오피스 2021 / 2019 엑셀 워드 파워포인트 윈도우10,11 홈 / 프로",kuus2,2,0,0,2023-01-02 11:23:40
5,964066663,[미개봉]그램15 15ZB90Q-GP79ML i7/16GB 12세대 판매,type0214,1,0,0,2023-01-02 11:19:31
6,964066415,게이밍노트북 레노버 아이디어패드 510-15ISK i7-6세대 지포스 940MX,notebookseller,6,0,0,2023-01-02 11:18:27
7,964066166,"[판매]사무용,게임용 조립PC",zaswq33,3,0,0,2023-01-02 11:17:25
8,964062388,​[판매]​[판매]삼성전자 오디세이 G3 S32AG320 미개봉 동백전 카드,ram2194,5,0,0,2023-01-02 11:00:39
9,964061292,[판매]*채굴기 중고 신품 최저가판매 010-9409-0134,dydtkszja,2,0,0,2023-01-02 10:55:21
10,964059673,F202E ASUS 11.6인치 터치 휴대용 슬림형 중고노트북 17만,notebookseller,5,0,0,2023-01-02 10:47:43
11,964059457,[판매]가정용 사무용 게임용 중고 컴퓨터 모니터,lbh9063,1,0,0,2023-01-02 10:46:41
12,964057094,[판매] 사무용 게임용 게이밍 중고 컴퓨터 모니터,lbh9063,1,0,0,2023-01-02 10:36:36
13,964055415,"[ 공식정품 ] 윈도우11 , 윈도우10 // MS오피스 세트할인",giant2112,1,0,0,2023-01-02 10:29:16
14,964054789,[판매]인텔 12400F 라이젠 5600 사무용 게이밍 중고 컴퓨터,lbh9063,3,0,0,2023-01-02 10:26:26
15,964054340,[판매]*중고 신품 채굴기 최저가판매,dydtkszja,4,0,0,2023-01-02 10:24:30
16,964054286,[미개봉]그램15 15Z95N-GP79ML i7/16GB/512GB 판매,type0214,3,0,0,2023-01-02 10:24:16
17,964053404,[판매]삼성 잉크젯 정품무한 SL-T1670 잉크 미개봉신품 양산,ram2194,1,0,0,2023-01-02 10:20:23
18,964052626,13인치 슬림 삼성 NT900X3D i5-3317U 중고노트북,notebookseller,9,0,0,2023-01-02 10:17:01
19,964052605,"MS 오피스 2021 / 2019 엑셀 워드 파워포인트 윈도우10,11 홈 / 프로",kuus2,8,0,0,2023-01-02 10:16:54
20,964048390,[미개봉]LG 그램15 11세대 15Z95N-GP50ML 노트북판매,type0214,5,0,0,2023-01-02 09:55:10
21,964048278,[매입] 허위매입X 감가X 최고가O 전자제품은 전부매입 가능합니다.,nb0055,9,0,0,2023-01-02 09:54:33
22,964046761,엘지 화이트노트북 15U560 i5 6200U 28만 중고재고10대,notebookseller,3,0,0,2023-01-02 09:46:15
23,964042854,[미개봉]LG 그램16 16Z90P-GP70ML i7/16GB/256 판매,type0214,9,0,0,2023-01-02 09:26:12
24,964042468,"[ 공식정품 ] 윈도우11 , 윈도우10 // MS오피스 세트할인",giant2112,2,0,0,2023-01-02 09:24:14
25,964040871,[판매]12월기획 엘지15N540 i7 4세대 램16 지포스 33만,notebookseller,4,0,0,2023-01-02 09:15:32
26,964039899,"MS 오피스 2021 / 2019 엑셀 워드 파워포인트 윈도우10,11 홈 / 프로",kuus2,8,0,0,2023-01-02 09:10:07
27,964039772,[판매]삼성전자 S34J550 34인치 WQHD 미개봉신품 부산,ram2194,11,0,0,2023-01-02 09:09:13
28,964039669,[판매]LG전자 32MN600PW 32인치 모니터 미개봉신품 부산,ram2194,3,0,0,2023-01-02 09:08:31
29,964037895,[미개봉]그램14 14ZB90Q-GP56ML i5/16GB 12세대 판매,type0214,5,0,0,2023-01-02 08:57:24
30,964035990,에이서 Swift3 SF314 i5-8세대 지포스 MX150 캐드 중고노트북,notebookseller,3,0,0,2023-01-02 08:44:49
31,964033766,[미개봉]그램15 15ZB90Q-GP56ML i5/16GB 12세대 판매,type0214,4,0,0,2023-01-02 08:28:35
32,964031967,L﻿enovo 게이밍노트북 700-15isk i5-6 GTX950M 34만,notebookseller,4,0,0,2023-01-02 08:14:08
33,964030755,"MS 오피스 2021 / 2019 엑셀 워드 파워포인트 윈도우10,11 홈 / 프로",kuus2,4,0,0,2023-01-02 08:03:20
34,964030299,[미개봉]그램15 15ZB90Q-GP79ML i7/16GB 12세대 판매,type0214,2,0,0,2023-01-02 07:59:27
35,964028815,[판매]15인치 엘지 A515 i5-2410M 램8 중고노트북 20만,notebookseller,4,0,0,2023-01-02 07:43:27
36,964028435,[미개봉]LG 그램14 14Z95N-GP5NL i5/16GB 노트북 판매,type0214,3,0,0,2023-01-02 07:38:53
